member_casual,month,hour_started,no_of_trips,season,time
casual,April,0,1397,Spring,Night
casual,April,1,931,Spring,Night
casual,April,2,574,Spring,Night
casual,April,3,372,Spring,Night
casual,April,4,248,Spring,Night
casual,April,5,413,Spring,Night
casual,April,6,930,Spring,Morning
casual,April,7,1950,Spring,Morning
casual,April,8,2691,Spring,Morning
casual,April,9,2925,Spring,Morning
casual,April,10,3951,Spring,Morning
casual,April,11,5598,Spring,Morning
casual,April,12,6357,Spring,Afternoon
casual,April,13,6650,Spring,Afternoon
casual,April,14,7058,Spring,Afternoon
casual,April,15,7495,Spring,Afternoon
casual,April,16,8225,Spring,Afternoon
casual,April,17,8885,Spring,Afternoon
casual,April,18,7871,Spring,Afternoon
casual,April,19,5589,Spring,Evening
casual,April,20,3449,Spring,Evening
casual,April,21,3199,Spring,Evening
casual,April,22,2943,Spring,Evening
casual,April,23,2188,Spring,Evening
casual,August,0,5377,Summer,Night
casual,August,1,3280,Summer,Night
casual,August,2,1980,Summer,Night
casual,August,3,1198,Summer,Night
casual,August,4,723,Summer,Night
casual,August,5,1415,Summer,Night
casual,August,6,3726,Summer,Morning
casual,August,7,5991,Summer,Morning
casual,August,8,8100,Summer,Morning
casual,August,9,8597,Summer,Morning
casual,August,10,11176,Summer,Morning
casual,August,11,13990,Summer,Morning
casual,August,12,16160,Summer,Afternoon
casual,August,13,15967,Summer,Afternoon
casual,August,14,17119,Summer,Afternoon
casual,August,15,19064,Summer,Afternoon
casual,August,16,22126,Summer,Afternoon
casual,August,17,26453,Summer,Afternoon
casual,August,18,24525,Summer,Afternoon
casual,August,19,19637,Summer,Evening
casual,August,20,13913,Summer,Evening
casual,August,21,12018,Summer,Evening
casual,August,22,10185,Summer,Evening
casual,August,23,7354,Summer,Evening
casual,December,0,595,winter,Night
casual,December,1,469,winter,Night
casual,December,2,264,winter,Night
casual,December,3,158,winter,Night
casual,December,4,145,winter,Night
casual,December,5,266,winter,Night
casual,December,6,694,winter,Morning
casual,December,7,1160,winter,Morning
casual,December,8,1610,winter,Morning
casual,December,9,1169,winter,Morning
casual,December,10,1313,winter,Morning
casual,December,11,1803,winter,Morning
casual,December,12,2006,winter,Afternoon
casual,December,13,2010,winter,Afternoon
casual,December,14,2078,winter,Afternoon
casual,December,15,2699,winter,Afternoon
casual,December,16,2743,winter,Afternoon
casual,December,17,2676,winter,Afternoon
casual,December,18,2159,winter,Afternoon
casual,December,19,1642,winter,Evening
casual,December,20,1073,winter,Evening
casual,December,21,972,winter,Evening
casual,December,22,993,winter,Evening
casual,December,23,805,winter,Evening
casual,February,0,195,winter,Night
casual,February,1,161,winter,Night
casual,February,2,87,winter,Night
casual,February,3,67,winter,Night
casual,February,4,54,winter,Night
casual,February,5,131,winter,Night
casual,February,6,236,winter,Morning
casual,February,7,425,winter,Morning
casual,February,8,589,winter,Morning
casual,February,9,465,winter,Morning
casual,February,10,647,winter,Morning
casual,February,11,815,winter,Morning
casual,February,12,1055,winter,Afternoon
casual,February,13,1138,winter,Afternoon
casual,February,14,1220,winter,Afternoon
casual,February,15,1319,winter,Afternoon
casual,February,16,1429,winter,Afternoon
casual,February,17,1500,winter,Afternoon
casual,February,18,1043,winter,Afternoon
casual,February,19,772,winter,Evening
casual,February,20,514,winter,Evening
casual,February,21,507,winter,Evening
casual,February,22,448,winter,Evening
casual,February,23,326,winter,Evening
casual,January,0,283,winter,Night
casual,January,1,262,winter,Night
casual,January,2,204,winter,Night
casual,January,3,84,winter,Night
casual,January,4,60,winter,Night
casual,January,5,117,winter,Night
casual,January,6,188,winter,Morning
casual,January,7,350,winter,Morning
casual,January,8,410,winter,Morning
casual,January,9,439,winter,Morning
casual,January,10,636,winter,Morning
casual,January,11,757,winter,Morning
casual,January,12,875,winter,Afternoon
casual,January,13,830,winter,Afternoon
casual,January,14,936,winter,Afternoon
casual,January,15,1002,winter,Afternoon
casual,January,16,1072,winter,Afternoon
casual,January,17,1078,winter,Afternoon
casual,January,18,912,winter,Afternoon
casual,January,19,669,winter,Evening
casual,January,20,413,winter,Evening
casual,January,21,392,winter,Evening
casual,January,22,340,winter,Evening
