member_casual,month,rideable_type,no_of_trips
casual,April,classic_bike,47376
casual,April,docked_bike,11980
casual,April,electric_bike,32533
casual,August,classic_bike,128299
casual,August,docked_bike,25888
casual,August,electric_bike,115887
casual,December,classic_bike,12599
casual,December,docked_bike,1872
casual,December,electric_bike,17031
casual,February,classic_bike,8057
casual,February,docked_bike,1344
casual,February,electric_bike,5742
casual,January,classic_bike,6895
casual,January,docked_bike,943
casual,January,electric_bike,4767
casual,July,classic_bike,155665
casual,July,docked_bike,30595
casual,July,electric_bike,125389
casual,June,classic_bike,169441
casual,June,docked_bike,30211
casual,June,electric_bike,92401
casual,March,classic_bike,35270
casual,March,docked_bike,8221
casual,March,electric_bike,23659
casual,May,classic_bike,125701
casual,May,docked_bike,26120
casual,May,electric_bike,68411
casual,November,classic_bike,32945
casual,November,docked_bike,5794
casual,November,electric_bike,34794
casual,October,classic_bike,61401
casual,October,docked_bike,12396
casual,October,electric_bike,77515
casual,September,classic_bike,105079
casual,September,docked_bike,19488
casual,September,electric_bike,96338
member,April,classic_bike,119143
member,April,electric_bike,61514
member,August,classic_bike,215318
member,August,electric_bike,119883
member,December,classic_bike,60669
member,December,electric_bike,43222
member,February,classic_bike,51163
member,February,electric_bike,22868
member,January,classic_bike,47802
member,January,electric_bike,19721
member,July,classic_bike,216985
member,July,electric_bike,113995
member,June,classic_bike,236546
member,June,electric_bike,91712
member,March,classic_bike,99019
member,March,electric_bike,49802
member,May,classic_bike,197883
member,May,electric_bike,84401
member,November,classic_bike,111497
member,November,electric_bike,70722
member,October,classic_bike,151884
member,October,electric_bike,111042
member,September,classic_bike,200664
member,September,electric_bike,113550
