member_casual,month,hour_started,no_of_trips
casual,April,0,1397
casual,April,1,931
casual,April,2,574
casual,April,3,372
casual,April,4,248
casual,April,5,413
casual,April,6,930
casual,April,7,1950
casual,April,8,2691
casual,April,9,2925
casual,April,10,3951
casual,April,11,5598
casual,April,12,6357
casual,April,13,6650
casual,April,14,7058
casual,April,15,7495
casual,April,16,8225
casual,April,17,8885
casual,April,18,7871
casual,April,19,5589
casual,April,20,3449
casual,April,21,3199
casual,April,22,2943
casual,April,23,2188
casual,August,0,5377
casual,August,1,3280
casual,August,2,1980
casual,August,3,1198
casual,August,4,723
casual,August,5,1415
casual,August,6,3726
casual,August,7,5991
casual,August,8,8100
casual,August,9,8597
casual,August,10,11176
casual,August,11,13990
casual,August,12,16160
casual,August,13,15967
casual,August,14,17119
casual,August,15,19064
casual,August,16,22126
casual,August,17,26453
casual,August,18,24525
casual,August,19,19637
casual,August,20,13913
casual,August,21,12018
casual,August,22,10185
casual,August,23,7354
casual,December,0,595
casual,December,1,469
casual,December,2,264
casual,December,3,158
casual,December,4,145
casual,December,5,266
casual,December,6,694
casual,December,7,1160
casual,December,8,1610
casual,December,9,1169
casual,December,10,1313
casual,December,11,1803
casual,December,12,2006
casual,December,13,2010
casual,December,14,2078
casual,December,15,2699
casual,December,16,2743
casual,December,17,2676
casual,December,18,2159
casual,December,19,1642
casual,December,20,1073
casual,December,21,972
casual,December,22,993
casual,December,23,805
casual,February,0,195
casual,February,1,161
casual,February,2,87
casual,February,3,67
casual,February,4,54
casual,February,5,131
casual,February,6,236
casual,February,7,425
casual,February,8,589
casual,February,9,465
casual,February,10,647
casual,February,11,815
casual,February,12,1055
casual,February,13,1138
casual,February,14,1220
casual,February,15,1319
casual,February,16,1429
casual,February,17,1500
casual,February,18,1043
casual,February,19,772
casual,February,20,514
casual,February,21,507
casual,February,22,448
casual,February,23,326
casual,January,0,283
casual,January,1,262
casual,January,2,204
casual,January,3,84
casual,January,4,60
casual,January,5,117
casual,January,6,188
casual,January,7,350
casual,January,8,410
casual,January,9,439
casual,January,10,636
casual,January,11,757
casual,January,12,875
casual,January,13,830
casual,January,14,936
casual,January,15,1002
casual,January,16,1072
casual,January,17,1078
casual,January,18,912
casual,January,19,669
casual,January,20,413
casual,January,21,392
casual,January,22,340
casual,January,23,296
casual,July,0,6343
casual,July,1,4176
casual,July,2,2522
casual,July,3,1432
casual,July,4,869
casual,July,5,1336
casual,July,6,3270
casual,July,7,5419
casual,July,8,7710
casual,July,9,9027
casual,July,10,12335
casual,July,11,16387
casual,July,12,19569
casual,July,13,21043
casual,July,14,21724
casual,July,15,22953
casual,July,16,25441
casual,July,17,28161
casual,July,18,26297
casual,July,19,21574
casual,July,20,17231
casual,July,21,14583
casual,July,22,12933
casual,July,23,9314
casual,June,0,5769
casual,June,1,3503
casual,June,2,1915
casual,June,3,1019
casual,June,4,772
casual,June,5,1363
casual,June,6,3231
casual,June,7,5780
casual,June,8,7773
casual,June,9,8230
casual,June,10,11034
casual,June,11,14656
casual,June,12,16861
casual,June,13,17332
casual,June,14,18813
casual,June,15,21267
casual,June,16,24982
casual,June,17,29097
casual,June,18,26478
casual,June,19,21325
casual,June,20,16829
casual,June,21,13437
casual,June,22,11966
casual,June,23,8621
casual,March,0,687
casual,March,1,504
casual,March,2,260
casual,March,3,188
casual,March,4,131
casual,March,5,306
casual,March,6,700
casual,March,7,1482
casual,March,8,2006
casual,March,9,1797
casual,March,10,2490
casual,March,11,3612
casual,March,12,4754
casual,March,13,5413
casual,March,14,6006
casual,March,15,6383
casual,March,16,6888
casual,March,17,7464
casual,March,18,5814
casual,March,19,3492
casual,March,20,2131
casual,March,21,1780
casual,March,22,1614
casual,March,23,1248
casual,May,0,4237
casual,May,1,2363
casual,May,2,1554
casual,May,3,822
casual,May,4,500
casual,May,5,792
casual,May,6,2017
casual,May,7,3815
casual,May,8,5580
casual,May,9,6500
casual,May,10,9216
casual,May,11,12268
casual,May,12,14535
casual,May,13,15196
casual,May,14,15478
casual,May,15,16965
casual,May,16,19370
casual,May,17,22200
casual,May,18,19146
casual,May,19,15042
casual,May,20,10595
casual,May,21,8695
casual,May,22,7660
casual,May,23,5686
casual,November,0,1219
casual,November,1,889
casual,November,2,440
casual,November,3,263
casual,November,4,184
casual,November,5,416
casual,November,6,1369
casual,November,7,2415
casual,November,8,3168
casual,November,9,2760
casual,November,10,3435
casual,November,11,4027
casual,November,12,4720
casual,November,13,4685
casual,November,14,5339
casual,November,15,6595
casual,November,16,7009
casual,November,17,6792
casual,November,18,5276
casual,November,19,3584
casual,November,20,2654
casual,November,21,2476
casual,November,22,2237
casual,November,23,1581
casual,October,0,2664
casual,October,1,1924
casual,October,2,1096
casual,October,3,639
casual,October,4,391
casual,October,5,770
casual,October,6,2092
casual,October,7,3660
casual,October,8,5273
casual,October,9,5576
casual,October,10,7313
casual,October,11,9258
casual,October,12,10983
casual,October,13,11520
casual,October,14,11967
casual,October,15,12936
casual,October,16,13725
casual,October,17,14285
casual,October,18,11223
casual,October,19,7034
casual,October,20,4991
casual,October,21,4501
casual,October,22,4302
casual,October,23,3189
casual,September,0,4544
casual,September,1,2858
casual,September,2,1776
casual,September,3,957
casual,September,4,583
casual,September,5,1093
casual,September,6,3224
casual,September,7,5417
casual,September,8,7323
casual,September,9,7125
casual,September,10,8806
casual,September,11,11541
casual,September,12,13790
casual,September,13,14126
casual,September,14,14959
casual,September,15,16880
casual,September,16,18980
casual,September,17,21294
casual,September,18,19473
casual,September,19,13718
casual,September,20,9294
casual,September,21,8612
casual,September,22,8251
casual,September,23,6281
member,April,0,1400
member,April,1,952
member,April,2,450
member,April,3,318
member,April,4,461
member,April,5,1801
member,April,6,5491
member,April,7,11139
member,April,8,13249
member,April,9,8237
member,April,10,7326
member,April,11,9044
member,April,12,10223
member,April,13,10111
member,April,14,9790
member,April,15,11502
member,April,16,15624
member,April,17,19465
member,April,18,15561
member,April,19,10500
member,April,20,6521
member,April,21,5127
member,April,22,3759
member,April,23,2606
member,August,0,3380
member,August,1,2081
member,August,2,1063
member,August,3,647
member,August,4,783
member,August,5,3152
member,August,6,10193
member,August,7,18292
member,August,8,20456
member,August,9,13785
member,August,10,13006
member,August,11,15271
member,August,12,17067
member,August,13,16403
member,August,14,16684
member,August,15,20690
member,August,16,29122
member,August,17,37001
member,August,18,30359
member,August,19,23262
member,August,20,16107
member,August,21,12060
member,August,22,8938
member,August,23,5399
member,December,0,1032
member,December,1,682
member,December,2,389
member,December,3,244
member,December,4,321
member,December,5,1141
member,December,6,3550
member,December,7,6705
member,December,8,8197
member,December,9,4949
member,December,10,4327
member,December,11,5286
member,December,12,5951
member,December,13,5770
member,December,14,5895
member,December,15,7518
member,December,16,9328
member,December,17,10233
member,December,18,7525
member,December,19,5245
member,December,20,3463
member,December,21,2673
member,December,22,2054
member,December,23,1413
member,February,0,439
member,February,1,291
member,February,2,223
member,February,3,96
member,February,4,213
member,February,5,1099
member,February,6,2346
member,February,7,4846
member,February,8,5750
member,February,9,3597
member,February,10,2959
member,February,11,3635
member,February,12,4427
member,February,13,4346
member,February,14,4309
member,February,15,5168
member,February,16,6873
member,February,17,7928
member,February,18,5517
member,February,19,3752
member,February,20,2281
member,February,21,1811
member,February,22,1301
member,February,23,824
member,January,0,475
member,January,1,310
member,January,2,237
member,January,3,115
member,January,4,187
member,January,5,1070
member,January,6,2223
member,January,7,3984
member,January,8,4597
member,January,9,3120
member,January,10,2870
member,January,11,3537
member,January,12,4126
member,January,13,4031
member,January,14,3962
member,January,15,4988
member,January,16,6401
member,January,17,7148
member,January,18,5195
member,January,19,3465
member,January,20,2160
member,January,21,1587
member,January,22,1065
member,January,23,670
member,July,0,3762
member,July,1,2225
member,July,2,1265
member,July,3,741
member,July,4,785
member,July,5,3119
member,July,6,8963
member,July,7,15834
member,July,8,17988
member,July,9,13707
member,July,10,13252
member,July,11,15913
member,July,12,18042
member,July,13,18049
member,July,14,17828
member,July,15,20504
member,July,16,27845
member,July,17,34343
member,July,18,28989
member,July,19,22029
member,July,20,16922
member,July,21,12993
member,July,22,9674
member,July,23,6208
member,June,0,3464
member,June,1,1920
member,June,2,1067
member,June,3,608
member,June,4,746
member,June,5,3440
member,June,6,9448
member,June,7,17420
member,June,8,19270
member,June,9,13146
member,June,10,12127
member,June,11,14817
member,June,12,16982
member,June,13,16173
member,June,14,16518
member,June,15,20354
member,June,16,28640
member,June,17,35836
member,June,18,29632
member,June,19,22113
member,June,20,16866
member,June,21,12408
member,June,22,9386
member,June,23,5877
member,March,0,921
member,March,1,578
member,March,2,277
member,March,3,251
member,March,4,336
member,March,5,1732
member,March,6,4549
member,March,7,9627
member,March,8,11478
member,March,9,6619
member,March,10,5798
member,March,11,6918
member,March,12,8339
member,March,13,8167
member,March,14,8264
member,March,15,10166
member,March,16,14218
member,March,17,17222
member,March,18,12518
member,March,19,7848
member,March,20,4917
member,March,21,3716
member,March,22,2635
member,March,23,1727
member,May,0,2891
member,May,1,1661
member,May,2,881
member,May,3,560
member,May,4,640
member,May,5,2716
member,May,6,7517
member,May,7,14318
member,May,8,16425
member,May,9,11640
member,May,10,11523
member,May,11,13792
member,May,12,15771
member,May,13,15627
member,May,14,15260
member,May,15,18114
member,May,16,25064
member,May,17,30963
member,May,18,25302
member,May,19,18342
member,May,20,12344
member,May,21,9444
member,May,22,6994
member,May,23,4495
member,November,0,1566
member,November,1,1036
member,November,2,519
member,November,3,353
member,November,4,438
member,November,5,1779
member,November,6,5916
member,November,7,10995
member,November,8,13284
member,November,9,8438
member,November,10,7424
member,November,11,8719
member,November,12,10058
member,November,13,9958
member,November,14,10188
member,November,15,13313
member,November,16,17525
member,November,17,19452
member,November,18,13829
member,November,19,9531
member,November,20,6242
member,November,21,5370
member,November,22,3793
member,November,23,2493
member,October,0,2606
member,October,1,1789
member,October,2,1002
member,October,3,578
member,October,4,574
member,October,5,2234
member,October,6,6881
member,October,7,13236
member,October,8,16730
member,October,9,11716
member,October,10,11134
member,October,11,13631
member,October,12,15839
member,October,13,15910
member,October,14,15492
member,October,15,19068
member,October,16,23834
member,October,17,27654
member,October,18,21473
member,October,19,14080
member,October,20,9806
member,October,21,7886
member,October,22,5982
member,October,23,3791
member,September,0,3285
member,September,1,2029
member,September,2,1220
member,September,3,732
member,September,4,676
