member_casual,start_station_name,month,no_of_trips
casual,Streeter Dr & Grand Ave,July,11026
casual,Streeter Dr & Grand Ave,June,9091
casual,Streeter Dr & Grand Ave,August,9042
casual,Streeter Dr & Grand Ave,May,7473
casual,Streeter Dr & Grand Ave,September,6639
casual,DuSable Lake Shore Dr & Monroe St,July,5774
casual,DuSable Lake Shore Dr & North Blvd,July,5188
casual,Michigan Ave & Oak St,July,5124
casual,DuSable Lake Shore Dr & Monroe St,June,4872
casual,DuSable Lake Shore Dr & North Blvd,June,4520
casual,Millennium Park,July,4433
casual,DuSable Lake Shore Dr & Monroe St,August,4333
casual,Michigan Ave & Oak St,June,4268
casual,DuSable Lake Shore Dr & Monroe St,May,4261
casual,Streeter Dr & Grand Ave,October,4159
casual,Theater on the Lake,July,3956
casual,Michigan Ave & Oak St,August,3923
casual,DuSable Lake Shore Dr & North Blvd,August,3887
casual,Millennium Park,August,3783
casual,Millennium Park,June,3752
member,Ellis Ave & 60th St,October,3457
casual,Shedd Aquarium,July,3415
casual,DuSable Lake Shore Dr & Monroe St,September,3413
casual,Michigan Ave & Oak St,May,3397
casual,Theater on the Lake,June,3205
member,University Ave & 57th St,October,3201
casual,Millennium Park,May,3199
casual,DuSable Lake Shore Dr & North Blvd,May,3061
casual,Millennium Park,September,3018
member,DuSable Lake Shore Dr & North Blvd,June,2994
casual,Theater on the Lake,August,2992
member,DuSable Lake Shore Dr & North Blvd,July,2989
member,Loomis St & Lexington St,September,2968
casual,Shedd Aquarium,August,2933
casual,Streeter Dr & Grand Ave,April,2920
member,Streeter Dr & Grand Ave,July,2849
casual,Michigan Ave & Oak St,September,2844
casual,DuSable Lake Shore Dr & Monroe St,October,2814
member,Kingsbury St & Kinzie St,June,2809
casual,Shedd Aquarium,June,2781
member,Kingsbury St & Kinzie St,July,2763
member,Kingsbury St & Kinzie St,August,2758
casual,Dusable Harbor,July,2748
casual,Wells St & Concord Ln,July,2723
member,Streeter Dr & Grand Ave,August,2706
casual,Montrose Harbor,July,2703
member,Streeter Dr & Grand Ave,June,2676
member,Wells St & Concord Ln,August,2666
member,Wells St & Concord Ln,July,2661
casual,Wells St & Concord Ln,June,2651
member,DuSable Lake Shore Dr & North Blvd,August,2622
member,Theater on the Lake,July,2597
member,Clark St & Elm St,August,2596
member,Wells St & Concord Ln,June,2582
member,Ellis Ave & 60th St,May,2575
member,University Ave & 57th St,May,2568
member,Loomis St & Lexington St,October,2548
member,Loomis St & Lexington St,August,2520
member,Theater on the Lake,June,2490
casual,Theater on the Lake,May,2483
casual,Shedd Aquarium,May,2469
member,Clark St & Elm St,June,2466
member,Kingsbury St & Kinzie St,May,2458
casual,DuSable Lake Shore Dr & North Blvd,September,2444
