member_casual,month,average_trip_length,longest_trip,shortest_trip
casual,April,25.9491440760047,7545.96666666667,0.0166666666666667
casual,August,23.2856972533454,4848.35,0.0166666666666667
casual,December,14.8418470784924,1475.9,0.0166666666666667
casual,February,24.8251799511325,10905.9666666667,0.0166666666666667
casual,January,27.3552413063599,29271.1,0.0333333333333333
casual,July,25.095021749896,32035.45,0.0166666666666667
casual,June,25.0202246966589,6672.86666666667,0.0166666666666667
casual,March,28.438878629933,34354.0666666667,0.0166666666666667
casual,May,27.7065499866807,10722.9666666667,0.0166666666666667
casual,November,17.2467327594413,1485.96666666667,0.0166666666666667
casual,October,20.4694453623418,8243.8,0.0166666666666667
casual,September,21.8047856921905,1494.4,0.0166666666666667
member,April,11.609755042244,1492.91666666667,0.0166666666666667
member,August,13.1069662680004,1445.35,0.0166666666666667
member,December,10.2011327577301,1406.35,0.0166666666666667
member,February,10.6450925963448,1466.4,0.0166666666666667
member,January,10.2699235815944,1380,0.0166666666666667
member,July,13.5039404697162,1476.7,0.0166666666666667
member,June,13.6845328471304,1323.53333333333,0.0166666666666667
member,March,11.7969089263836,1478.48333333333,0.0166666666666667
member,May,13.3015335619447,1475.63333333333,0.0166666666666667
member,November,10.8277239658506,1493.23333333333,0.0166666666666667
member,October,11.6756841595481,1456.41666666667,0.0166666666666667
member,September,12.6224949662756,1471.28333333333,0.0166666666666667
